energy	num_occurrences	sample
-64.000000	0	1	[0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0]
-64.000000	0	28	[0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0]
-64.000000	0	10	[0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0]
-64.000000	0	16	[1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0]
-64.000000	0	3	[1 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	8	[0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0]
-64.000000	0	7	[1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0]
-64.000000	0	2	[1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0]
-64.000000	0	39	[0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0]
-64.000000	0	2	[1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0]
-64.000000	0	14	[1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1]
-64.000000	0	15	[0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	6	[1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1]
-64.000000	0	1	[0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	91	[0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0]
-64.000000	0	1	[0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	10	[0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	6	[0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0]
-64.000000	0	9	[1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	3	[1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0]
-64.000000	0	3	[0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0]
-64.000000	0	23	[0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0]
-64.000000	0	13	[1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0]
-64.000000	0.037037	1	[0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	1	[1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	17	[0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	176	[0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1]
-64.000000	0	4	[1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1]
-64.000000	0	2	[1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1]
-64.000000	0	4	[1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0]
-64.000000	0	5	[0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	1	[1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0]
-64.000000	0	1	[1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	30	[1 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1]
-64.000000	0	119	[0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0]
-64.000000	0	1	[0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0]
-64.000000	0	1	[0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0]
-64.000000	0	11	[0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1]
